[0] 2023-06-29: Rover at (26, 16), Steps: 0, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 24), Steps: 49, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 23), Steps: 50, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 22), Steps: 51, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 22), Steps: 52, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 21), Steps: 53, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 21), Steps: 54, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 20), Steps: 55, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 20), Steps: 56, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 19), Steps: 57, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 19), Steps: 58, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (39, 18), Steps: 59, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (38, 18), Steps: 60, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (37, 18), Steps: 61, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 18), Steps: 62, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 18), Steps: 63, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 19), Steps: 64, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 19), Steps: 65, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 20), Steps: 66, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (36, 21), Steps: 67, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 21), Steps: 68, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 21), Steps: 69, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 20), Steps: 70, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (35, 20), Steps: 71, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 20), Steps: 72, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 20), Steps: 73, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 21), Steps: 74, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (33, 22), Steps: 75, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 22), Steps: 76, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (34, 23), Steps: 77, Current task: EXPLORATION, Base status: SPACESHIP, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (34, 24), Steps: 78, Current task: BASE RESOURCE COLLECTION, Base status: PLANNED, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (33, 24), Steps: 79, Current task: BASE RESOURCE COLLECTION, Base status: PLANNED, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (33, 24), Steps: 80, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 23), Steps: 81, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 22), Steps: 82, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 21), Steps: 83, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 20), Steps: 84, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 19), Steps: 85, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 18), Steps: 86, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 17), Steps: 87, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 16), Steps: 88, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 15), Steps: 89, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 14), Steps: 90, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 13), Steps: 91, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 12), Steps: 92, Current task: BASE BUILDING, Base status: PLANNED, Inventory: MINERAL, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[0] 2023-06-29: Rover at (32, 12), Steps: 93, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (32, 12), Steps: 94, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 13), Steps: 95, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (32, 11), Steps: 96, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 13), Steps: 97, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (31, 11), Steps: 98, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 12), Steps: 99, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (30, 11), Steps: 100, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 12), Steps: 101, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (29, 11), Steps: 102, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (31, 13), Steps: 103, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (29, 12), Steps: 104, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 14), Steps: 105, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (29, 11), Steps: 106, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 14), Steps: 107, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (28, 11), Steps: 108, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (28, 14), Steps: 109, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (28, 10), Steps: 110, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (27, 14), Steps: 111, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (27, 10), Steps: 112, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (27, 14), Steps: 113, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (26, 10), Steps: 114, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (28, 13), Steps: 115, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (25, 10), Steps: 116, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 12), Steps: 117, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (25, 9), Steps: 118, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 12), Steps: 119, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (24, 9), Steps: 120, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (31, 12), Steps: 121, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (23, 9), Steps: 122, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 12), Steps: 123, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (23, 10), Steps: 124, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (32, 12), Steps: 125, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (23, 11), Steps: 126, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (31, 13), Steps: 127, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (23, 12), Steps: 128, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (30, 14), Steps: 129, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (23, 13), Steps: 130, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (29, 15), Steps: 131, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 13), Steps: 132, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (28, 15), Steps: 133, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 12), Steps: 134, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (27, 15), Steps: 135, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 11), Steps: 136, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (26, 15), Steps: 137, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 10), Steps: 138, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (25, 15), Steps: 139, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 9), Steps: 140, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
[0] 2023-06-29: Rover at (25, 15), Steps: 141, Current task: RESOURCE GATHERING, Base status: OPERATING, Inventory: WATER, Movement Strategy: MOVING_TO_A_DESTINATION_COORDINATE, Outcome: RESOURCES_FOUND
[1] 2023-06-29: Rover at (22, 8), Steps: 142, Current task: EXPLORATION, Base status: OPERATING, Inventory: EMPTY, Movement Strategy: EXPLORING, Outcome: UNDEFINED
